name,institution,price($),Number of people purchased
python 验证码处理与Scrapy教程,智锋互联,599.00,0
python网页爬虫,智锋互联,599.00,0
flask 教程,智锋互联,199.00,0
Python机器学习,逻辑教育,2080.00,3
Python高薪VIP体验课-百度可视化开源框架入门实战【六星教育】,六星云课堂,199.00,101
python快速入门-python图形化|运算|爬虫|大数据|人工智能,山西搜学网络科技有限公司,148.00,0
Python与量化投资：从基础到实战（中文版）,课桌角,1065.00,1
Flask框架从基础到高级智能租房项目实践,博学谷,199.00,0
Python3.x从入门到实战案例,黄埔课堂,30.00,127
数据分析进阶必备技能：Pandas,博学谷,199.00,1
人工智能机器学习之人脸识别系统教程,北京思无限科技有限责任公司,198.00,10
2019年零基础Python编程语言/Django/Flask【东方瑞通】,东方瑞通 终身学习,3399.00,0
Python数据分析实战VIP班,灵犀教育,,97
Python实战编程：从零学Python,博学谷,129.00,0
Python在岗培训课程,北京软通动力教育科技有限公司,198.00,84
Python数据分析与应用：从数据获取到可视化,博学谷,99.00,4
Python数据分析与爬虫【大讲台】,大讲台,98.00,2
Python数据分析 数据挖掘 机器学习,缔凡教育,2980.00,16
Python全栈工程师+爬虫+大数据-挑战年薪30万,启讯科技,6898.00,0
爬虫开发 快速获取海量数据 数据分析必会技能,缔凡教育,1980.00,18
Python后台报表综合案例教程,黄埔课堂,30.00,155
Web-Django框架与项目,缔凡教育,2980.00,17
Kmeans+SVD+OpenCV+NLP+Kaggle+RFM+CT图像案例讲解,北京盛久盈天科技有限公司,699.00,2
Python零基础到大数据实战案例教程,黄埔课堂,388.00,157
Python多算法融合+文本与图像挖掘方法+神经网络深度学习案例讲解,北京盛久盈天科技有限公司,599.00,0
Python爬虫从入门到精通|全套课程,万和IT教育,68.00,1
Python算法实战,达亚学院,1280.00,24
Python全栈自动化基础课程,上海凡猫教育科技有限公司,98.00,183
django-博客（二）+Xadmin组件,路飞学城,39.00,6
Python从基础入门到开发实战必学,光华学堂,25.00,1
django-博客项目（一）,路飞学城,39.00,6
Python Sanic 高并发服务开发实战,天火,112.00,10
Python全栈9期：django高级,路飞学城,29.00,6
Python数据分析学习实战,光华学堂,25.00,1
Python全栈9期：django进阶,路飞学城,29.00,6
Python3零基础完全入门,上海慈德教育科技有限公司,,19
